County,Fire Name,Start,Contained,Acres,Deaths_FF,Deaths_Civil,Duration,Strux_Destr,Strux_Dmgd,Total Deaths,Year,Month,Duration_Per_Month
MODOC,BARNES,2022-09-07,2022-09-28,5843.0,0,0,22,2,0,0,2022,9,{'2022-09': 22}
LOS ANGELES,SANTA ANITA,2008-04-26,2008-05-02,584.0,0,0,5,0,0,0,2008,4,{'2008-04': 5}
LOS ANGELES,SANTA ANITA,2008-04-26,2008-05-02,584.0,0,0,2,0,0,0,2008,5,{'2008-05': 2}
RIVERSIDE,APACHE,2008-04-29,2008-05-04,769.0,0,0,2,0,0,0,2008,4,{'2008-04': 2}
RIVERSIDE,APACHE,2008-04-29,2008-05-04,769.0,0,0,4,0,0,0,2008,5,{'2008-05': 4}
SANTA CLARA,Summit,2008-05-22,2008-06-15,4270.0,0,0,10,0,0,0,2008,5,{'2008-05': 10}
SANTA CLARA,Summit,2008-05-22,2008-06-15,4270.0,0,0,15,0,0,0,2008,6,{'2008-06': 15}
TULARE,CLOVER,2008-05-28,2008-07-20,15300.0,0,0,4,0,0,0,2008,5,{'2008-05': 4}
TULARE,CLOVER,2008-05-28,2008-07-20,15300.0,0,0,30,0,0,0,2008,6,{'2008-06': 30}
TULARE,CLOVER,2008-05-28,2008-07-20,15300.0,0,0,20,0,0,0,2008,7,{'2008-07': 20}
MONTEREY,INDIANS,2008-06-08,2008-07-10,81378.0,0,0,23,0,0,0,2008,6,{'2008-06': 23}
MONTEREY,INDIANS,2008-06-08,2008-07-10,81378.0,0,0,10,0,0,0,2008,7,{'2008-07': 10}
SONOMA,Pine,2008-06-10,2008-10-14,989.0,0,0,21,0,0,0,2008,6,{'2008-06': 21}
SONOMA,Pine,2008-06-10,2008-10-14,989.0,0,0,31,0,0,0,2008,7,{'2008-07': 31}
SONOMA,Pine,2008-06-10,2008-10-14,989.0,0,0,31,0,0,0,2008,8,{'2008-08': 31}
SONOMA,Pine,2008-06-10,2008-10-14,989.0,0,0,30,0,0,0,2008,9,{'2008-09': 30}
SONOMA,Pine,2008-06-10,2008-10-14,989.0,0,0,14,0,0,0,2008,10,{'2008-10': 14}
HUMBOLDT,MAD COMPLEX,2008-06-20,2008-07-21,3705.0,0,0,11,0,0,0,2008,6,{'2008-06': 11}
HUMBOLDT,MAD COMPLEX,2008-06-20,2008-07-21,3705.0,0,0,21,0,0,0,2008,7,{'2008-07': 21}
HUMBOLDT,HELLS HALF COMPLEX,2008-06-20,2008-07-28,15146.0,0,0,11,0,0,0,2008,6,{'2008-06': 11}
HUMBOLDT,HELLS HALF COMPLEX,2008-06-20,2008-07-28,15146.0,0,0,28,0,0,0,2008,7,{'2008-07': 28}
TRINITY,LIME COMPLEX,2008-06-20,2008-08-15,98715.0,0,0,11,0,0,0,2008,6,{'2008-06': 11}
TRINITY,LIME COMPLEX,2008-06-20,2008-08-15,98715.0,0,0,31,0,0,0,2008,7,{'2008-07': 31}
TRINITY,LIME COMPLEX,2008-06-20,2008-08-15,98715.0,0,0,15,0,0,0,2008,8,{'2008-08': 15}
HUMBOLDT,UKONOM-SOUTH COMPLEX,2008-06-20,2008-09-15,29327.0,0,0,11,0,0,0,2008,6,{'2008-06': 11}
HUMBOLDT,UKONOM-SOUTH COMPLEX,2008-06-20,2008-09-15,29327.0,0,0,31,0,0,0,2008,7,{'2008-07': 31}
HUMBOLDT,UKONOM-SOUTH COMPLEX,2008-06-20,2008-09-15,29327.0,0,0,31,0,0,0,2008,8,{'2008-08': 31}
HUMBOLDT,UKONOM-SOUTH COMPLEX,2008-06-20,2008-09-15,29327.0,0,0,15,0,0,0,2008,9,{'2008-09': 15}
SHASTA,Coleman Fish Hatchery,2008-06-21,2008-07-02,388.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,Coleman Fish Hatchery,2008-06-21,2008-07-02,388.0,0,0,2,0,0,0,2008,7,{'2008-07': 2}
SHASTA,Donkey Mine Rd/Oak RU,2008-06-21,2008-07-02,557.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,Donkey Mine Rd/Oak RU,2008-06-21,2008-07-02,557.0,0,0,2,0,0,0,2008,7,{'2008-07': 2}
SHASTA,PETERSON COMPLEX,2008-06-21,2008-07-02,7842.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,PETERSON COMPLEX,2008-06-21,2008-07-02,7842.0,0,0,2,0,0,0,2008,7,{'2008-07': 2}
MARIPOSA,SILVER KNOB,2008-06-21,2008-07-02,1161.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
MARIPOSA,SILVER KNOB,2008-06-21,2008-07-02,1161.0,0,0,2,0,0,0,2008,7,{'2008-07': 2}
TUOLUMNE,NORTH MOUNTAIN,2008-06-21,2008-07-03,2889.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
TUOLUMNE,NORTH MOUNTAIN,2008-06-21,2008-07-03,2889.0,0,0,3,0,0,0,2008,7,{'2008-07': 3}
SHASTA,Plantina 4,2008-06-21,2008-07-04,12980.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,Plantina 4,2008-06-21,2008-07-04,12980.0,0,0,4,0,0,0,2008,7,{'2008-07': 4}
SHASTA,EO2A,2008-06-21,2008-07-06,1200.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,EO2A,2008-06-21,2008-07-06,1200.0,0,0,6,0,0,0,2008,7,{'2008-07': 6}
SHASTA,Stein,2008-06-21,2008-07-07,1148.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,Stein,2008-06-21,2008-07-07,1148.0,0,0,7,0,0,0,2008,7,{'2008-07': 7}
BUTTE,Breakneck,2008-06-21,2008-07-09,715.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
BUTTE,Breakneck,2008-06-21,2008-07-09,715.0,0,0,9,0,0,0,2008,7,{'2008-07': 9}
MENDOCINO,Brushy 3 Lightning,2008-06-21,2008-07-13,327.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
MENDOCINO,Brushy 3 Lightning,2008-06-21,2008-07-13,327.0,0,0,13,0,0,0,2008,7,{'2008-07': 13}
MENDOCINO,Oso Lightning,2008-06-21,2008-07-13,373.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
MENDOCINO,Oso Lightning,2008-06-21,2008-07-13,373.0,0,0,13,0,0,0,2008,7,{'2008-07': 13}
MENDOCINO,Jack Smith Lightning,2008-06-21,2008-07-13,3000.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
MENDOCINO,Jack Smith Lightning,2008-06-21,2008-07-13,3000.0,0,0,13,0,0,0,2008,7,{'2008-07': 13}
MENDOCINO,Daugherty Gate,2008-06-21,2008-07-13,3000.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
MENDOCINO,Daugherty Gate,2008-06-21,2008-07-13,3000.0,0,0,13,0,0,0,2008,7,{'2008-07': 13}
MENDOCINO,Squaw 1 Lightning 2,2008-06-21,2008-07-13,3000.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
MENDOCINO,Squaw 1 Lightning 2,2008-06-21,2008-07-13,3000.0,0,0,13,0,0,0,2008,7,{'2008-07': 13}
SHASTA,Whitmore Rd/Old Cow C2,2008-06-21,2008-07-15,2054.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,Whitmore Rd/Old Cow C2,2008-06-21,2008-07-15,2054.0,0,0,15,0,0,0,2008,7,{'2008-07': 15}
YUBA,YUBA RIVER COMPLEX,2008-06-21,2008-07-15,4254.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
YUBA,YUBA RIVER COMPLEX,2008-06-21,2008-07-15,4254.0,0,0,15,0,0,0,2008,7,{'2008-07': 15}
MENDOCINO,Mallo-B Lightning,2008-06-21,2008-07-17,4466.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
MENDOCINO,Mallo-B Lightning,2008-06-21,2008-07-17,4466.0,0,0,17,0,0,0,2008,7,{'2008-07': 17}
SHASTA,WHISKEYTOWN COMPLEX,2008-06-21,2008-07-19,6420.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,WHISKEYTOWN COMPLEX,2008-06-21,2008-07-19,6420.0,0,0,19,0,0,0,2008,7,{'2008-07': 19}
LASSEN,CUB COMPLEX,2008-06-21,2008-07-20,19718.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
LASSEN,CUB COMPLEX,2008-06-21,2008-07-20,19718.0,0,0,20,0,0,0,2008,7,{'2008-07': 20}
SHASTA,Lewiston 8,2008-06-21,2008-07-23,1311.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,Lewiston 8,2008-06-21,2008-07-23,1311.0,0,0,23,0,0,0,2008,7,{'2008-07': 23}
SHASTA,STA 57 ONO CDF IGO 2,2008-06-21,2008-07-24,4000.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,STA 57 ONO CDF IGO 2,2008-06-21,2008-07-24,4000.0,0,0,24,0,0,0,2008,7,{'2008-07': 24}
SHASTA,IGO 6,2008-06-21,2008-07-24,4200.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,IGO 6,2008-06-21,2008-07-24,4200.0,0,0,24,0,0,0,2008,7,{'2008-07': 24}
SHASTA,IGO 13,2008-06-21,2008-07-24,600.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,IGO 13,2008-06-21,2008-07-24,600.0,0,0,24,0,0,0,2008,7,{'2008-07': 24}
SHASTA,IGO 15,2008-06-21,2008-07-24,1200.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,IGO 15,2008-06-21,2008-07-24,1200.0,0,0,24,0,0,0,2008,7,{'2008-07': 24}
SHASTA,IGO 16,2008-06-21,2008-07-24,4800.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,IGO 16,2008-06-21,2008-07-24,4800.0,0,0,24,0,0,0,2008,7,{'2008-07': 24}
SHASTA,IGO 17,2008-06-21,2008-07-24,2400.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,IGO 17,2008-06-21,2008-07-24,2400.0,0,0,24,0,0,0,2008,7,{'2008-07': 24}
SHASTA,IGO 18,2008-06-21,2008-07-24,4200.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,IGO 18,2008-06-21,2008-07-24,4200.0,0,0,24,0,0,0,2008,7,{'2008-07': 24}
LAKE,SODA COMPLEX,2008-06-21,2008-07-26,8632.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
LAKE,SODA COMPLEX,2008-06-21,2008-07-26,8632.0,0,0,26,0,0,0,2008,7,{'2008-07': 26}
MONTEREY,BASIN COMPLEX,2008-06-21,2008-07-27,162818.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
MONTEREY,BASIN COMPLEX,2008-06-21,2008-07-27,162818.0,0,0,27,0,0,0,2008,7,{'2008-07': 27}
BUTTE,Frey,2008-06-21,2008-07-28,4000.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
BUTTE,Frey,2008-06-21,2008-07-28,4000.0,0,0,28,0,0,0,2008,7,{'2008-07': 28}
PLACER,"AMERICAN RIVER
COMPLEX",2008-06-21,2008-07-30,20541.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
PLACER,"AMERICAN RIVER
COMPLEX",2008-06-21,2008-07-30,20541.0,0,0,30,0,0,0,2008,7,{'2008-07': 30}
MENDOCINO,Red Mtn 1 Lightning,2008-06-21,2008-08-01,7515.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
MENDOCINO,Red Mtn 1 Lightning,2008-06-21,2008-08-01,7515.0,0,0,31,0,0,0,2008,7,{'2008-07': 31}
MENDOCINO,Red Mtn 1 Lightning,2008-06-21,2008-08-01,7515.0,0,0,1,0,0,0,2008,8,{'2008-08': 1}
HUMBOLDT,Paradise,2008-06-21,2008-08-01,1076.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
HUMBOLDT,Paradise,2008-06-21,2008-08-01,1076.0,0,0,31,0,0,0,2008,7,{'2008-07': 31}
HUMBOLDT,Paradise,2008-06-21,2008-08-01,1076.0,0,0,1,0,0,0,2008,8,{'2008-08': 1}
SHASTA,Moon,2008-06-21,2008-08-09,6030.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,Moon,2008-06-21,2008-08-09,6030.0,0,0,31,0,0,0,2008,7,{'2008-07': 31}
SHASTA,Moon,2008-06-21,2008-08-09,6030.0,0,0,9,0,0,0,2008,8,{'2008-08': 9}
SHASTA,Lakehead,2008-06-21,2008-08-23,27936.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
SHASTA,Lakehead,2008-06-21,2008-08-23,27936.0,0,0,31,0,0,0,2008,7,{'2008-07': 31}
SHASTA,Lakehead,2008-06-21,2008-08-23,27936.0,0,0,23,0,0,0,2008,8,{'2008-08': 23}
TRINITY,"IRON COMPLEX & ALPS
COMPLEX",2008-06-21,2008-09-09,105805.0,9,0,10,0,0,9,2008,6,{'2008-06': 10}
TRINITY,"IRON COMPLEX & ALPS
COMPLEX",2008-06-21,2008-09-09,105805.0,9,0,31,0,0,9,2008,7,{'2008-07': 31}
TRINITY,"IRON COMPLEX & ALPS
COMPLEX",2008-06-21,2008-09-09,105805.0,9,0,31,0,0,9,2008,8,{'2008-08': 31}
TRINITY,"IRON COMPLEX & ALPS
COMPLEX",2008-06-21,2008-09-09,105805.0,9,0,9,0,0,9,2008,9,{'2008-09': 9}
PLUMAS,CANYON COMPLEX,2008-06-21,2008-09-30,47680.0,0,0,10,0,0,0,2008,6,{'2008-06': 10}
PLUMAS,CANYON COMPLEX,2008-06-21,2008-09-30,47680.0,0,0,31,0,0,0,2008,7,{'2008-07': 31}
PLUMAS,CANYON COMPLEX,2008-06-21,2008-09-30,47680.0,0,0,31,0,0,0,2008,8,{'2008-08': 31}
PLUMAS,CANYON COMPLEX,2008-06-21,2008-09-30,47680.0,0,0,30,0,0,0,2008,9,{'2008-09': 30}
SHASTA,Venture,2008-06-22,2008-07-04,1912.0,0,0,9,0,0,0,2008,6,{'2008-06': 9}
SHASTA,Venture,2008-06-22,2008-07-04,1912.0,0,0,4,0,0,0,2008,7,{'2008-07': 4}
LASSEN,Popcorn,2008-06-22,2008-07-08,3000.0,0,0,9,0,0,0,2008,6,{'2008-06': 9}
LASSEN,Popcorn,2008-06-22,2008-07-08,3000.0,0,0,8,0,0,0,2008,7,{'2008-07': 8}
MENDOCINO,Orr Incident,2008-06-22,2008-07-10,3000.0,0,0,9,0,0,0,2008,6,{'2008-06': 9}
MENDOCINO,Orr Incident,2008-06-22,2008-07-10,3000.0,0,0,10,0,0,0,2008,7,{'2008-07': 10}
MENDOCINO,Cliff Ridge B Lightning,2008-06-22,2008-07-12,999.0,0,0,9,0,0,0,2008,6,{'2008-06': 9}
MENDOCINO,Cliff Ridge B Lightning,2008-06-22,2008-07-12,999.0,0,0,12,0,0,0,2008,7,{'2008-07': 12}
MENDOCINO,Shamrock East Lightning,2008-06-22,2008-07-12,469.0,0,0,9,0,0,0,2008,6,{'2008-06': 9}
MENDOCINO,Shamrock East Lightning,2008-06-22,2008-07-12,469.0,0,0,12,0,0,0,2008,7,{'2008-07': 12}
MENDOCINO,5-8 Cliff Lightning,2008-06-22,2008-07-13,1000.0,0,0,9,0,0,0,2008,6,{'2008-06': 9}
MENDOCINO,5-8 Cliff Lightning,2008-06-22,2008-07-13,1000.0,0,0,13,0,0,0,2008,7,{'2008-07': 13}
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,192038.0,2,0,9,0,0,2,2008,6,{'2008-06': 9}
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,192038.0,2,0,31,0,0,2,2008,7,{'2008-07': 31}
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,192038.0,2,0,31,0,0,2,2008,8,{'2008-08': 31}
SISKIYOU,"BEAR WALLOW COMPLEX
(KLAMATH THEATER)",2008-06-22,2008-09-30,192038.0,2,0,30,0,0,2,2008,9,{'2008-09': 30}
MADERA,Oliver / MRP 588,2008-06-23,2008-07-06,2789.0,0,0,8,0,0,0,2008,6,{'2008-06': 8}
MADERA,Oliver / MRP 588,2008-06-23,2008-07-06,2789.0,0,0,6,0,0,0,2008,7,{'2008-07': 6}
LASSEN,Corral,2008-06-23,2008-07-07,12500.0,0,0,8,0,0,0,2008,6,{'2008-06': 8}
LASSEN,Corral,2008-06-23,2008-07-07,12500.0,0,0,7,0,0,0,2008,7,{'2008-07': 7}
TEHAMA,Mill Creek,2008-06-24,2008-07-01,13580.0,0,0,7,0,0,0,2008,6,{'2008-06': 7}
TEHAMA,Mill Creek,2008-06-24,2008-07-01,13580.0,0,0,1,0,0,0,2008,7,{'2008-07': 1}
MENDOCINO,Juan Creek Lightning,2008-06-27,2008-07-15,450.0,0,0,4,0,0,0,2008,6,{'2008-06': 4}
MENDOCINO,Juan Creek Lightning,2008-06-27,2008-07-15,450.0,0,0,15,0,0,0,2008,7,{'2008-07': 15}
KERN,PIUTE,2008-06-28,2008-07-25,37026.0,0,0,3,0,0,0,2008,6,{'2008-06': 3}
KERN,PIUTE,2008-06-28,2008-07-25,37026.0,0,0,25,0,0,0,2008,7,{'2008-07': 25}
FRESNO,TEHIPITE,2008-07-19,2008-11-11,11596.0,0,0,13,0,0,0,2008,7,{'2008-07': 13}
FRESNO,TEHIPITE,2008-07-19,2008-11-11,11596.0,0,0,31,0,0,0,2008,8,{'2008-08': 31}
FRESNO,TEHIPITE,2008-07-19,2008-11-11,11596.0,0,0,30,0,0,0,2008,9,{'2008-09': 30}
FRESNO,TEHIPITE,2008-07-19,2008-11-11,11596.0,0,0,31,0,0,0,2008,10,{'2008-10': 31}
FRESNO,TEHIPITE,2008-07-19,2008-11-11,11596.0,0,0,11,0,0,0,2008,11,{'2008-11': 11}
MADERA,Telegraph,2008-07-25,2008-09-15,34091.0,0,0,7,0,0,0,2008,7,{'2008-07': 7}
MADERA,Telegraph,2008-07-25,2008-09-15,34091.0,0,0,31,0,0,0,2008,8,{'2008-08': 31}
MADERA,Telegraph,2008-07-25,2008-09-15,34091.0,0,0,15,0,0,0,2008,9,{'2008-09': 15}
PLUMAS,RICH,2008-07-29,2008-08-10,6112.0,0,0,3,0,0,0,2008,7,{'2008-07': 3}
PLUMAS,RICH,2008-07-29,2008-08-10,6112.0,0,0,10,0,0,0,2008,8,{'2008-08': 10}
MONTEREY,CHALK,2008-09-25,2008-10-29,16269.0,0,0,6,0,0,0,2008,9,{'2008-09': 6}
MONTEREY,CHALK,2008-09-25,2008-10-29,16269.0,0,0,29,0,0,0,2008,10,{'2008-10': 29}
TUOLUMNE,DOME ROCK,2008-09-30,2008-11-15,919.0,0,0,1,0,0,0,2008,9,{'2008-09': 1}
TUOLUMNE,DOME ROCK,2008-09-30,2008-11-15,919.0,0,0,31,0,0,0,2008,10,{'2008-10': 31}
TUOLUMNE,DOME ROCK,2008-09-30,2008-11-15,919.0,0,0,15,0,0,0,2008,11,{'2008-11': 15}
RIVERSIDE,LOST HORSE,2009-05-24,2009-06-02,450.0,0,0,8,0,0,0,2009,5,{'2009-05': 8}
RIVERSIDE,LOST HORSE,2009-05-24,2009-06-02,450.0,0,0,2,0,0,0,2009,6,{'2009-06': 2}
MARIPOSA,GROUSE,2009-05-30,2009-08-12,3007.0,0,0,2,0,0,0,2009,5,{'2009-05': 2}
MARIPOSA,GROUSE,2009-05-30,2009-08-12,3007.0,0,0,30,0,0,0,2009,6,{'2009-06': 30}
MARIPOSA,GROUSE,2009-05-30,2009-08-12,3007.0,0,0,31,0,0,0,2009,7,{'2009-07': 31}
MARIPOSA,GROUSE,2009-05-30,2009-08-12,3007.0,0,0,12,0,0,0,2009,8,{'2009-08': 12}
TUOLUMNE,HARDEN,2009-06-08,2009-08-09,1654.0,0,0,23,0,0,0,2009,6,{'2009-06': 23}
TUOLUMNE,HARDEN,2009-06-08,2009-08-09,1654.0,0,0,31,0,0,0,2009,7,{'2009-07': 31}
TUOLUMNE,HARDEN,2009-06-08,2009-08-09,1654.0,0,0,9,0,0,0,2009,8,{'2009-08': 9}
TULARE,SHOTGUN,2009-06-17,2009-07-11,900.0,0,0,14,0,0,0,2009,6,{'2009-06': 14}
TULARE,SHOTGUN,2009-06-17,2009-07-11,900.0,0,0,11,0,0,0,2009,7,{'2009-07': 11}
YOLO,Rumsey,2009-06-29,2009-07-02,716.0,0,0,2,0,0,0,2009,6,{'2009-06': 2}
YOLO,Rumsey,2009-06-29,2009-07-02,716.0,0,0,2,0,0,0,2009,7,{'2009-07': 2}
TULARE,LION,2009-06-30,2009-08-21,2577.0,0,0,1,0,0,0,2009,6,{'2009-06': 1}
TULARE,LION,2009-06-30,2009-08-21,2577.0,0,0,31,0,0,0,2009,7,{'2009-07': 31}
TULARE,LION,2009-06-30,2009-08-21,2577.0,0,0,21,0,0,0,2009,8,{'2009-08': 21}
TULARE,GRANITE,2009-06-30,2009-08-21,1417.0,0,0,1,0,0,0,2009,6,{'2009-06': 1}
TULARE,GRANITE,2009-06-30,2009-08-21,1417.0,0,0,31,0,0,0,2009,7,{'2009-07': 31}
TULARE,GRANITE,2009-06-30,2009-08-21,1417.0,0,0,21,0,0,0,2009,8,{'2009-08': 21}
TUOLUMNE,KNIGHT,2009-07-26,2009-08-11,6130.0,0,0,6,0,0,0,2009,7,{'2009-07': 6}
TUOLUMNE,KNIGHT,2009-07-26,2009-08-11,6130.0,0,0,11,0,0,0,2009,8,{'2009-08': 11}
TUOLUMNE,WILDCAT,2009-07-29,2009-08-31,1255.0,0,0,3,0,0,0,2009,7,{'2009-07': 3}
TUOLUMNE,WILDCAT,2009-07-29,2009-08-31,1255.0,0,0,31,0,0,0,2009,8,{'2009-08': 31}
SHASTA,FAIRFIELD,2009-08-03,2009-09-30,1664.0,0,0,29,0,0,0,2009,8,{'2009-08': 29}
SHASTA,FAIRFIELD,2009-08-03,2009-09-30,1664.0,0,0,30,0,0,0,2009,9,{'2009-09': 30}
SISKIYOU,RED ROCK,2009-08-21,2009-09-05,1364.0,0,0,11,0,0,0,2009,8,{'2009-08': 11}
SISKIYOU,RED ROCK,2009-08-21,2009-09-05,1364.0,0,0,5,0,0,0,2009,9,{'2009-09': 5}
LOS ANGELES,MORRIS,2009-08-25,2009-09-03,2163.0,0,0,7,0,0,0,2009,8,{'2009-08': 7}
LOS ANGELES,MORRIS,2009-08-25,2009-09-03,2163.0,0,0,3,0,0,0,2009,9,{'2009-09': 3}
MARIPOSA,BIG MEADOWS,2009-08-26,2009-09-07,7425.0,0,0,6,0,0,0,2009,8,{'2009-08': 6}
MARIPOSA,BIG MEADOWS,2009-08-26,2009-09-07,7425.0,0,0,7,0,0,0,2009,9,{'2009-09': 7}
LOS ANGELES,STATION,2009-08-26,2009-10-16,160577.0,2,0,6,0,0,2,2009,8,{'2009-08': 6}
